統計年度,按照別,區域別,生母年齡,出生者性別,嬰兒出生數
113,按登記日期分,新北市三重區,未滿15歲,女,1
113,按登記日期分,新北市三重區,15歲,女,1
113,按登記日期分,新北市三重區,16歲,女,0
113,按登記日期分,新北市三重區,17歲,女,2
113,按登記日期分,新北市三重區,18歲,女,5
113,按登記日期分,新北市三重區,19歲,女,2
113,按登記日期分,新北市三重區,20歲,女,2
113,按登記日期分,新北市三重區,21歲,女,6
113,按登記日期分,新北市三重區,22歲,女,8
113,按登記日期分,新北市三重區,23歲,女,10
113,按登記日期分,新北市三重區,24歲,女,8
113,按登記日期分,新北市三重區,25歲,女,27
113,按登記日期分,新北市三重區,26歲,女,21
113,按登記日期分,新北市三重區,27歲,女,30
113,按登記日期分,新北市三重區,28歲,女,26
113,按登記日期分,新北市三重區,29歲,女,38
113,按登記日期分,新北市三重區,30歲,女,51
113,按登記日期分,新北市三重區,31歲,女,54
113,按登記日期分,新北市三重區,32歲,女,60
113,按登記日期分,新北市三重區,33歲,女,60
113,按登記日期分,新北市三重區,34歲,女,54
113,按登記日期分,新北市三重區,35歲,女,65
113,按登記日期分,新北市三重區,36歲,女,34
113,按登記日期分,新北市三重區,37歲,女,32
113,按登記日期分,新北市三重區,38歲,女,37
113,按登記日期分,新北市三重區,39歲,女,35
113,按登記日期分,新北市三重區,40歲,女,20
113,按登記日期分,新北市三重區,41歲,女,16
113,按登記日期分,新北市三重區,42歲,女,10
113,按登記日期分,新北市三重區,43歲,女,9
113,按登記日期分,新北市三重區,44歲,女,2
113,按登記日期分,新北市三重區,45歲,女,1
113,按登記日期分,新北市三重區,46歲,女,0
113,按登記日期分,新北市三重區,47歲,女,0
113,按登記日期分,新北市三重區,48歲,女,1
113,按登記日期分,新北市三重區,49歲,女,0
113,按登記日期分,新北市三重區,50歲以上,女,0
113,按登記日期分,新北市中和區,未滿15歲,男,1
113,按登記日期分,新北市中和區,15歲,男,0
113,按登記日期分,新北市中和區,16歲,男,2
113,按登記日期分,新北市中和區,17歲,男,2
113,按登記日期分,新北市中和區,18歲,男,0
113,按登記日期分,新北市中和區,19歲,男,1
113,按登記日期分,新北市中和區,20歲,男,2
113,按登記日期分,新北市中和區,21歲,男,5
113,按登記日期分,新北市中和區,22歲,男,7
113,按登記日期分,新北市中和區,23歲,男,13
113,按登記日期分,新北市中和區,24歲,男,15
113,按登記日期分,新北市中和區,25歲,男,13
113,按登記日期分,新北市中和區,26歲,男,19
113,按登記日期分,新北市中和區,27歲,男,22
113,按登記日期分,新北市中和區,28歲,男,30
113,按登記日期分,新北市中和區,29歲,男,24
113,按登記日期分,新北市中和區,30歲,男,42
113,按登記日期分,新北市中和區,31歲,男,56
113,按登記日期分,新北市中和區,32歲,男,61
113,按登記日期分,新北市中和區,33歲,男,63
113,按登記日期分,新北市中和區,34歲,男,64
113,按登記日期分,新北市中和區,35歲,男,57
113,按登記日期分,新北市中和區,36歲,男,58
113,按登記日期分,新北市中和區,37歲,男,38
113,按登記日期分,新北市中和區,38歲,男,45
113,按登記日期分,新北市中和區,39歲,男,29
113,按登記日期分,新北市中和區,40歲,男,25
113,按登記日期分,新北市中和區,41歲,男,23
113,按登記日期分,新北市中和區,42歲,男,11
113,按登記日期分,新北市中和區,43歲,男,9
113,按登記日期分,新北市中和區,44歲,男,8
113,按登記日期分,新北市中和區,45歲,男,3
113,按登記日期分,新北市中和區,46歲,男,3
113,按登記日期分,新北市中和區,47歲,男,0
113,按登記日期分,新北市中和區,48歲,男,0
113,按登記日期分,新北市中和區,49歲,男,0
113,按登記日期分,新北市中和區,50歲以上,男,1
113,按登記日期分,新北市中和區,未滿15歲,女,0
113,按登記日期分,新北市中和區,15歲,女,0
113,按登記日期分,新北市中和區,16歲,女,0
113,按登記日期分,新北市中和區,17歲,女,0
113,按登記日期分,新北市中和區,18歲,女,2
113,按登記日期分,新北市中和區,19歲,女,4
113,按登記日期分,新北市中和區,20歲,女,4
113,按登記日期分,新北市中和區,21歲,女,2
113,按登記日期分,新北市中和區,22歲,女,4
113,按登記日期分,新北市中和區,23歲,女,7
113,按登記日期分,新北市中和區,24歲,女,13
113,按登記日期分,新北市中和區,25歲,女,11
113,按登記日期分,新北市中和區,26歲,女,15
113,按登記日期分,新北市中和區,27歲,女,22
113,按登記日期分,新北市中和區,28歲,女,28
113,按登記日期分,新北市中和區,29歲,女,29
113,按登記日期分,新北市中和區,30歲,女,37
113,按登記日期分,新北市中和區,31歲,女,55
113,按登記日期分,新北市中和區,32歲,女,65
113,按登記日期分,新北市中和區,33歲,女,49
113,按登記日期分,新北市中和區,34歲,女,49
113,按登記日期分,新北市中和區,35歲,女,64
113,按登記日期分,新北市中和區,36歲,女,44
113,按登記日期分,新北市中和區,37歲,女,36
113,按登記日期分,新北市中和區,38歲,女,35
113,按登記日期分,新北市中和區,39歲,女,37
113,按登記日期分,新北市中和區,40歲,女,24
113,按登記日期分,新北市中和區,41歲,女,24
113,按登記日期分,新北市中和區,42歲,女,7
113,按登記日期分,新北市中和區,43歲,女,6
113,按登記日期分,新北市中和區,44歲,女,2
113,按登記日期分,新北市中和區,45歲,女,3
113,按登記日期分,新北市中和區,46歲,女,3
113,按登記日期分,新北市中和區,47歲,女,1
113,按登記日期分,新北市中和區,48歲,女,0
113,按登記日期分,新北市中和區,49歲,女,1
113,按登記日期分,新北市中和區,50歲以上,女,0
113,按登記日期分,新北市永和區,未滿15歲,男,0
113,按登記日期分,新北市永和區,15歲,男,0
113,按登記日期分,新北市永和區,16歲,男,0
113,按登記日期分,新北市永和區,17歲,男,0
113,按登記日期分,新北市永和區,18歲,男,0
113,按登記日期分,新北市永和區,19歲,男,0
113,按登記日期分,新北市永和區,20歲,男,0
113,按登記日期分,新北市永和區,21歲,男,3
113,按登記日期分,新北市永和區,22歲,男,0
113,按登記日期分,新北市永和區,23歲,男,1
113,按登記日期分,新北市永和區,24歲,男,1
113,按登記日期分,新北市永和區,25歲,男,4
113,按登記日期分,新北市永和區,26歲,男,5
113,按登記日期分,新北市永和區,27歲,男,7
113,按登記日期分,新北市永和區,28歲,男,11
113,按登記日期分,新北市永和區,29歲,男,12
113,按登記日期分,新北市永和區,30歲,男,23
113,按登記日期分,新北市永和區,31歲,男,26
113,按登記日期分,新北市永和區,32歲,男,15
113,按登記日期分,新北市永和區,33歲,男,35
113,按登記日期分,新北市永和區,34歲,男,20
113,按登記日期分,新北市永和區,35歲,男,27
113,按登記日期分,新北市永和區,36歲,男,28
113,按登記日期分,新北市永和區,37歲,男,17
113,按登記日期分,新北市永和區,38歲,男,16
113,按登記日期分,新北市永和區,39歲,男,18
113,按登記日期分,新北市永和區,40歲,男,12
113,按登記日期分,新北市永和區,41歲,男,12
113,按登記日期分,新北市永和區,42歲,男,3
113,按登記日期分,新北市永和區,43歲,男,1
113,按登記日期分,新北市永和區,44歲,男,0
113,按登記日期分,新北市永和區,45歲,男,1
113,按登記日期分,新北市永和區,46歲,男,0
113,按登記日期分,新北市永和區,47歲,男,0
113,按登記日期分,新北市永和區,48歲,男,0
